nounsAllCount,nounsAllIndex
"('고객', 90112)","('고객', 1)"
"('확인', 51350)","('확인', 2)"
"('지금', 38356)","('지금', 3)"
"('저희', 31855)","('저희', 4)"
"('취소', 29514)","('취소', 5)"
"('번호', 28464)","('번호', 6)"
"('여권', 23921)","('여권', 7)"
"('말씀', 22918)","('말씀', 8)"
"('주문', 21634)","('주문', 9)"
"('이제', 19419)","('이제', 10)"
"('상품', 19077)","('상품', 11)"
"('출국', 18872)","('출국', 12)"
"('혹시', 17410)","('혹시', 13)"
"('변경', 16173)","('변경', 14)"
"('잠시', 16156)","('잠시', 15)"
"('구매', 15926)","('구매', 16)"
"('아이디', 15853)","('아이디', 17)"
"('한번', 13346)","('한번', 18)"
"('정보', 13267)","('정보', 19)"
"('드릴', 12655)","('드릴', 20)"
"('등록', 11916)","('등록', 21)"
"('시간', 11805)","('시간', 22)"
"('결제', 11551)","('결제', 23)"
"('포인트', 11492)","('포인트', 24)"
"('다시', 11398)","('다시', 25)"
"('회원', 11176)","('회원', 26)"
"('때문', 10906)","('때문', 27)"
"('본인', 10825)","('본인', 28)"
"('카드', 10773)","('카드', 29)"
"('그거', 10736)","('그거', 30)"
"('하루', 10486)","('하루', 31)"
"('사용', 10174)","('사용', 32)"
"('가지', 10111)","('가지', 33)"
"('인도', 10038)","('인도', 34)"
"('전화', 9446)","('전화', 35)"
"('경우', 9364)","('경우', 36)"
"('매장', 9353)","('매장', 37)"
"('하나', 8464)","('하나', 38)"
"('부분', 7800)","('부분', 39)"
"('성함', 7579)","('성함', 40)"
"('무엇', 7415)","('무엇', 41)"
"('바로', 7255)","('바로', 42)"
"('진행', 6805)","('진행', 43)"
"('안내', 6664)","('안내', 44)"
"('그게', 6642)","('그게', 45)"
"('문의', 6602)","('문의', 46)"
"('거기', 6584)","('거기', 47)"
"('아예', 6553)","('아예', 48)"
"('쿠폰', 6544)","('쿠폰', 49)"
"('일단', 6522)","('일단', 50)"
"('그냥', 6426)","('그냥', 51)"
"('적립금', 6418)","('적립금', 52)"
"('오늘', 6310)","('오늘', 53)"
"('이용', 6280)","('이용', 54)"
"('금액', 6274)","('금액', 55)"
"('로그인', 6116)","('로그인', 56)"
"('교환', 5969)","('교환', 57)"
"('다른', 5798)","('다른', 58)"
"('제품', 5736)","('제품', 59)"
"('공항', 5615)","('공항', 60)"
"('문건', 5589)","('문건', 61)"
"('연락', 5537)","('연락', 62)"
"('건가', 5519)","('건가', 63)"
"('만약', 5404)","('만약', 64)"
"('십이월', 5402)","('십이월', 65)"
"('부탁', 5353)","('부탁', 66)"
"('입력', 5287)","('입력', 67)"
"('다음', 5092)","('다음', 68)"
"('문자', 5009)","('문자', 69)"
"('생년', 4892)","('생년', 70)"
"('주시', 4842)","('주시', 71)"
"('조회', 4825)","('조회', 72)"
"('오프라인', 4756)","('오프라인', 73)"
"('일정', 4710)","('일정', 74)"
"('완료', 4694)","('완료', 75)"
"('브랜드', 4657)","('브랜드', 76)"
"('가요', 4656)","('가요', 77)"
"('우선', 4607)","('우선', 78)"
"('월일', 4563)","('월일', 79)"
"('물건', 4555)","('물건', 80)"
"('정도', 4528)","('정도', 81)"
"('러시', 4498)","('러시', 82)"
"('명동', 4332)","('명동', 83)"
"('여기', 4239)","('여기', 84)"
"('가입', 4205)","('가입', 85)"
"('내일', 4199)","('내일', 86)"
"('거세', 4184)","('거세', 87)"
"('저기', 4158)","('저기', 88)"
"('이세', 3960)","('이세', 89)"
"('날짜', 3940)","('날짜', 90)"
"('먼저', 3858)","('먼저', 91)"
"('할인', 3854)","('할인', 92)"
"('수가', 3854)","('수가', 93)"
"('등급', 3808)","('등급', 94)"
"('통합', 3799)","('통합', 95)"
