nounsAllCount,nounsAllIndex
{'고객': 90112},{'고객': 1}
{'확인': 51350},{'확인': 2}
{'지금': 38356},{'지금': 3}
{'면세점': 33609},{'면세점': 4}
{'저희': 31855},{'저희': 5}
{'취소': 29514},{'취소': 6}
{'번호': 28464},{'번호': 7}
{'여권': 23921},{'여권': 8}
{'말씀': 22918},{'말씀': 9}
{'주문': 21634},{'주문': 10}
{'인터넷': 21060},{'인터넷': 11}
{'이제': 19419},{'이제': 12}
{'상품': 19077},{'상품': 13}
{'출국': 18872},{'출국': 14}
{'혹시': 17410},{'혹시': 15}
{'변경': 16173},{'변경': 16}
{'잠시': 16156},{'잠시': 17}
{'구매': 15926},{'구매': 18}
{'아이디': 15853},{'아이디': 19}
{'한번': 13346},{'한번': 20}
{'정보': 13267},{'정보': 21}
{'드릴': 12655},{'드릴': 22}
{'등록': 11916},{'등록': 23}
{'시간': 11805},{'시간': 24}
{'결제': 11551},{'결제': 25}
{'포인트': 11492},{'포인트': 26}
{'다시': 11398},{'다시': 27}
{'회원': 11176},{'회원': 28}
{'때문': 10906},{'때문': 29}
{'본인': 10825},{'본인': 30}
{'카드': 10773},{'카드': 31}
{'그거': 10736},{'그거': 32}
{'하루': 10486},{'하루': 33}
{'사용': 10174},{'사용': 34}
{'가지': 10111},{'가지': 35}
{'인도': 10038},{'인도': 36}
{'전화': 9446},{'전화': 37}
{'경우': 9364},{'경우': 38}
{'매장': 9353},{'매장': 39}
{'하나': 8464},{'하나': 40}
{'부분': 7800},{'부분': 41}
{'성함': 7579},{'성함': 42}
{'무엇': 7415},{'무엇': 43}
{'바로': 7255},{'바로': 44}
{'진행': 6805},{'진행': 45}
{'안내': 6664},{'안내': 46}
{'그게': 6642},{'그게': 47}
{'문의': 6602},{'문의': 48}
{'거기': 6584},{'거기': 49}
{'아예': 6553},{'아예': 50}
{'쿠폰': 6544},{'쿠폰': 51}
{'일단': 6522},{'일단': 52}
{'그냥': 6426},{'그냥': 53}
{'적립금': 6418},{'적립금': 54}
{'오늘': 6310},{'오늘': 55}
{'이용': 6280},{'이용': 56}
{'금액': 6274},{'금액': 57}
{'로그인': 6116},{'로그인': 58}
{'교환': 5969},{'교환': 59}
{'다른': 5798},{'다른': 60}
{'제품': 5736},{'제품': 61}
{'공항': 5615},{'공항': 62}
{'문건': 5589},{'문건': 63}
{'연락': 5537},{'연락': 64}
{'건가': 5519},{'건가': 65}
{'만약': 5404},{'만약': 66}
{'십이월': 5402},{'십이월': 67}
{'부탁': 5353},{'부탁': 68}
{'입력': 5287},{'입력': 69}
{'다음': 5092},{'다음': 70}
{'문자': 5009},{'문자': 71}
{'생년': 4892},{'생년': 72}
{'주시': 4842},{'주시': 73}
{'조회': 4825},{'조회': 74}
{'오프라인': 4756},{'오프라인': 75}
{'일정': 4710},{'일정': 76}
{'완료': 4694},{'완료': 77}
{'브랜드': 4657},{'브랜드': 78}
{'가요': 4656},{'가요': 79}
{'우선': 4607},{'우선': 80}
{'월일': 4563},{'월일': 81}
{'물건': 4555},{'물건': 82}
{'정도': 4528},{'정도': 83}
{'러시': 4498},{'러시': 84}
{'명동': 4332},{'명동': 85}
{'여기': 4239},{'여기': 86}
{'가입': 4205},{'가입': 87}
{'내일': 4199},{'내일': 88}
{'거세': 4184},{'거세': 89}
{'저기': 4158},{'저기': 90}
{'이세': 3960},{'이세': 91}
{'날짜': 3940},{'날짜': 92}
{'먼저': 3858},{'먼저': 93}
{'할인': 3854},{'할인': 94}
{'수가': 3854},{'수가': 95}
{'등급': 3808},{'등급': 96}
{'통합': 3799},{'통합': 97}
{'선불카드': 3776},{'선불카드': 98}
{'처리': 3642},{'처리': 99}
{'주신': 3579},{'주신': 100}
